汉语原文	人工翻译结果
他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”	ཁོང་གིས་བཤད་རྒྱུར་“ད་ལྟ་ང་ཚོར་གཅིན་པ་མངར་འགྱུར་གྱི་ནད་མེད་པའི་བྱི་བ་ལོ་ཚད་ཟླ་བ་4འགོར་མོད། འོན་ཀྱང་བྱི་བ་འདི་དག་ལ་སྔོན་ཆད་ནད་འདི་བྱུང་མྱོང་།“
铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。	ཅོང་བརྡ(Ring)ཀུང་སིས་ད་དུང་འགྲན་རྩོད་འགྲན་ཡ་ADTབདེ་སྲུང་ཀུང་སི་དང་མཉམ་དུ་ཁ་མཆུ་རྒྱག་པའི་ཁྲོད་ཁྲིམས་ཁང་གི་ཕྱི་རོལ་དུ་འདུམ་འགྲིག་བྱས་པ་རེད།
莫尔 (Moll) 博士认为，有些病人可能是在医院感染了病菌，而且至少有两名病人是医院的医护人员。	འབུམ་རམས་པ་མོར་ཨེར་(Moll)གྱིས་ནད་པ་ཁ་ཤས་ཕལ་ཆེར་སྨན་ཁང་དུ་ནད་འབུ་ཕྲ་འགོས་སྲིད་པ་མ་ཟད། ཉུང་མཐར་ཡང་ནད་པ་གཉིས་ནི་སྨན་ཁང་གི་སྨན་དོན་མི་སྣ་ཡིན་པའི་ངོས་འཛིན་བྱེད་ཀྱིས་ཡོད།
有个传统是在复活节之夜在户外某处醒着看日出。	སྲོལ་རྒྱུན་ཞིག་ཡོད་པ་ནི་འདས་ལོག་དུས་ཆེན་གྱི་མཚན་མོ་ཕྱི་རོལ་གྱི་གནས་ཤིག་ནས་སད་དེ་ཉི་མ་ཤར་བ་ལྟ་བ་དེ་ཡིན།
当然，这个传统有其基督教神学的解释，但它很可能是基督诞生以前就存在的一种庆祝春天、祈求丰收的仪式。	ལོས་ཡིན། སྲོལ་རྒྱུན་འདིར་ཡེ་ཤུའི་ཆོས་ལུགས་ཀྱི་ལྷ་རིག་འགྲེལ་བཤད་བྱས་ཡོད། འོན་ཀྱང་དེ་ནི་ཡེ་ཤུའི་ཆོས་ལུགས་མ་བྱུང་སྔོན་དུ་གནས་པའི་དཔྱིད་ཀ་རྟེན་འབྲེལ་ཞུ་བ་དང་ལོ་ལེགས་ཡོང་བའི་སྨོན་འདུན་ཞུ་བའི་མཛད་སྒོ་ཞིག་ཡིན་ཤས་ཆེ།
更传统的教堂常常在复活节周末的周六晚上举行复活节守夜活动，会众通常在午夜钟声敲响之时涌入庆典，庆祝基督的复活。	སྔར་ལས་སྲོལ་རྒྱུན་གྱི་ཆོས་ཁང་གིས་རྒྱུན་དུ་འདས་ལོག་དུས་ཆེན་གཟའ་མཇུག་གི་གཟའ་སྤེན་པའི་དགོང་མོར་འདས་ལོག་དུས་ཆེན་གྱི་མཚན་སྲུང་བྱ་འགུལ་སྤེལ། ཚོགས་མི་རྣམས་རྒྱུན་དུ་མཚན་གུང་གི་ཅོང་བརྡ་གྲགས་པའི་སྐབས་སུ་རྟེན་འབྲེལ་མཛད་སྒོ་ལ་ཞུགས། ཡེ་ཤུའི་འདས་ལོག་ལ་རྟེན་འབྲེལ་ཞུ།
最初，动物们都是通过游泳、飞行或者漂浮的方式到达了这些岛屿。	ཆེས་ཐོག་མ་སྲོག་ཆགས་རྣམས་ཆུ་རྐྱལ་དང་འཕུར་སྐྱོད་ཡང་ན་ཆུ་ཁར་གཡེང་བའི་ཐབས་ལ་བརྟེན་ནས་གླིང་ཕྲན་འདི་དག་ལ་ཐོན་པ་ཡིན།
因为远离大陆，哺乳动物无法长途跋涉而来，使得巨龟成为科隆群岛主要的食草动物。	རྒྱུ་མཚན་ནི་སྐམ་ས་ཆེན་པོ་དང་རིང་དུ་གྱེས་པས། འོ་གསོས་སྲོག་ཆགས་ནི་ཐག་རིང་འགྲུལ་བཞུད་བྱེད་ཐབས་བྲལ་བས་རུས་སྦལ་ཆེན་པོ་ཁོ་ལུང་གླིང་ཚོམ་གྱི་རྩྭ་གཟན་སྲོག་ཆགས་གཙོ་བོར་གྱུར།
人类来到加拉帕戈斯群岛后，引进了许多哺乳动物，其中包括山羊、马、牛、老鼠、猫和狗。	མིའི་རིགས་ཀྱིས་སྒ་ལ་ཕ་དགེ་སི་གླིང་ཚོམ་དུ་འབྱོར་རྗེས་འོ་འཐུང་སྲོག་ཆགས་མང་པོ་ཞིག་ནང་འདྲེན་བྱས་པའི་ནང་ར་དང་།རྟ།ནོར།བྱི་བ།ཞི་ལ།ཁྱི་བཅས་ཚུད་ཡོད་པ་རེད།
如果冬季去北极或南极地区旅游，你就能体验到极夜，即一段时间内太阳不会从地平线上升起。	གལ་ཏེ་དགུན་དུས་བྱང་སྣེར་རམ་ཡང་ན་ལྷོ་སྣེའི་ས་ཁུལ་དུ་ཡུལ་སྐོར་དུ་བསྐྱོད་ཚེ་ཁྱེད་ཀྱིས་མཚན་མོར་མཚན་དྲག་སྟེ་དུས་ཚོད་ངེས་ཅན་ཞིག་གི་ནང་ཉི་མ་སའི་སྙོམས་ངོས་ནས་འཆར་མི་སྲིད།
这提供了一个可以看到北极光的绝佳机会，因为天空将或多或少连续一整天都是暗的。	འདིས་བྱང་སྣེའི་འོད་ཟེར་མཐོང་ཐུབ་པའི་གོ་སྐབས་བཟང་བོ་ཞིག་མཁོ་འདོན་བྱས་ཡོད།རྒྱུ་མཚན་ནི་ནམ་མཁའ་མང་ཉུང་ལ་མ་བལྟོས་པར་བསྟུད་མར་ཉིན་གང་བོར་མུན་ནག་གིས་ཁེངས་ཡོད་པས་རེད།
这些地区人口稀少，一般不存在光污染的问题，你也能欣赏到璀璨星空。	ས་ཁུལ་དེ་དག་ཏུ་མི་འབོར་ཧ་ཅང་ཉུང་བས་སྤྱིར་བཏང་དུ་འོད་སྦགས་བཙོག་གི་གནད་དོན་མེད།ཁྱེད་ཀྱིས་ཀྱང་ནམ་མཁའི་སྐར་ཚོགས་ལྟ་བུའི་མཛེས་ལྗོངས་མྱོང་རོལ་བྱེད་ཐུབ།
